"downloaded","item_id","item_definition","category","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36"
2023-04-18,29,"선물","toys",0.05,0.05,0.03,0.11,0.21,0.13,0.38,0.3,0.47,0.51,0.5,0.68,0.7,0.73,0.67,0.76,0.83,0.8,0.85
2023-04-18,30,"연필","toys",0.23,0.2,0.28,0.29,0.36,0.31,0.54,0.71,0.61,0.6,0.69,0.81,0.71,0.81,0.79,0.84,0.87,0.87,0.87
2023-04-18,31,"인형","toys",0.32,0.23,0.33,0.44,0.46,0.46,0.59,0.73,0.76,0.74,0.79,0.85,0.77,0.9,0.84,0.91,0.92,0.94,0.93
2023-04-18,32,"장난감","toys",0.11,0.08,0.16,0.21,0.31,0.33,0.44,0.63,0.56,0.56,0.64,0.8,0.71,0.79,0.85,0.85,0.89,0.84,0.92
2023-04-18,33,"종이","toys",0.14,0.02,0.13,0.21,0.29,0.26,0.48,0.59,0.57,0.61,0.62,0.76,0.76,0.78,0.81,0.88,0.84,0.88,0.9
2023-04-18,34,"책","toys",0.43,0.43,0.49,0.63,0.6,0.73,0.81,0.86,0.86,0.89,0.87,0.9,0.9,0.97,0.96,0.93,0.97,0.93,0.99
2023-04-18,35,"총","toys",0.11,0.11,0.13,0.13,0.2,0.21,0.33,0.38,0.4,0.5,0.53,0.62,0.66,0.77,0.73,0.77,0.75,0.7,0.87
2023-04-18,36,"크레용/크레파스","toys",0.17,0.11,0.13,0.21,0.31,0.24,0.44,0.58,0.54,0.61,0.69,0.74,0.69,0.85,0.82,0.79,0.89,0.9,0.92
2023-04-18,37,"풀","toys",0.03,0.03,0.07,0.16,0.16,0.23,0.37,0.47,0.44,0.53,0.56,0.71,0.7,0.73,0.73,0.81,0.83,0.84,0.87
2023-04-18,38,"풍선","toys",0.29,0.32,0.4,0.43,0.5,0.56,0.68,0.84,0.79,0.77,0.88,0.89,0.89,0.92,0.96,0.93,0.96,0.91,0.99
2023-04-18,39,"개","animals",0.42,0.34,0.43,0.57,0.59,0.6,0.7,0.74,0.77,0.73,0.82,0.84,0.89,0.93,0.88,0.92,0.91,0.88,0.96
2023-04-18,40,"개구리","animals",0.15,0.11,0.18,0.29,0.31,0.34,0.52,0.63,0.59,0.72,0.71,0.75,0.86,0.88,0.87,0.85,0.88,0.9,0.96
2023-04-18,41,"개미","animals",0.06,0.12,0.12,0.32,0.31,0.3,0.43,0.55,0.63,0.62,0.69,0.79,0.76,0.81,0.85,0.88,0.82,0.88,0.93
2023-04-18,42,"거북이","animals",0.17,0.06,0.13,0.19,0.33,0.29,0.52,0.52,0.59,0.65,0.69,0.78,0.77,0.84,0.82,0.84,0.86,0.9,0.94
2023-04-18,43,"거위","animals",0.03,0.02,0.06,0.05,0.07,0.09,0.11,0.07,0.26,0.25,0.24,0.3,0.21,0.27,0.36,0.31,0.38,0.39,0.32
2023-04-18,44,"고양이","animals",0.37,0.25,0.37,0.4,0.5,0.53,0.73,0.77,0.71,0.78,0.86,0.89,0.89,0.97,0.88,0.96,0.91,0.9,0.99
2023-04-18,45,"곰","animals",0.4,0.26,0.37,0.4,0.56,0.59,0.74,0.79,0.71,0.8,0.86,0.82,0.91,0.95,0.85,0.87,0.92,0.91,0.96
2023-04-18,46,"공룡","animals",0.05,0.06,0.12,0.19,0.26,0.16,0.31,0.44,0.44,0.57,0.6,0.7,0.71,0.67,0.75,0.79,0.8,0.78,0.83
2023-04-18,47,"기린","animals",0.22,0.17,0.21,0.35,0.43,0.4,0.6,0.67,0.66,0.68,0.73,0.78,0.83,0.82,0.82,0.88,0.89,0.88,0.94
2023-04-18,48,"나비","animals",0.26,0.26,0.31,0.38,0.43,0.47,0.7,0.71,0.74,0.82,0.86,0.88,0.91,0.96,0.94,0.92,0.91,0.94,0.97
2023-04-18,49,"다람쥐","animals",0.08,0.02,0.07,0.17,0.26,0.14,0.42,0.48,0.47,0.57,0.62,0.7,0.66,0.77,0.76,0.73,0.78,0.81,0.83
2023-04-18,50,"닭","animals",0.22,0.12,0.21,0.32,0.36,0.41,0.58,0.67,0.69,0.62,0.73,0.8,0.8,0.85,0.84,0.81,0.82,0.78,0.89
2023-04-18,51,"당나귀","animals",0.02,0,0.01,0.05,0.07,0.03,0.12,0.11,0.17,0.22,0.23,0.32,0.16,0.29,0.27,0.32,0.37,0.35,0.46
2023-04-18,52,"동물","animals",0.06,0.02,0.06,0.11,0.11,0.17,0.22,0.26,0.33,0.36,0.58,0.59,0.54,0.63,0.66,0.65,0.7,0.71,0.82
2023-04-18,53,"돼지","animals",0.31,0.2,0.31,0.4,0.53,0.57,0.67,0.78,0.76,0.8,0.82,0.85,0.86,0.93,0.91,0.88,0.93,0.93,0.97
2023-04-18,54,"말","animals",0.32,0.22,0.22,0.38,0.41,0.5,0.7,0.7,0.66,0.73,0.77,0.81,0.8,0.89,0.81,0.81,0.88,0.86,0.96
2023-04-18,55,"물고기","animals",0.22,0.2,0.33,0.38,0.44,0.51,0.67,0.74,0.66,0.8,0.81,0.82,0.83,0.95,0.93,0.93,0.89,0.94,0.99
2023-04-18,56,"뱀","animals",0.09,0.05,0.09,0.25,0.36,0.33,0.53,0.68,0.56,0.64,0.72,0.81,0.74,0.86,0.79,0.81,0.78,0.88,0.93
2023-04-18,57,"벌","animals",0.08,0.08,0.1,0.14,0.24,0.23,0.33,0.48,0.49,0.56,0.54,0.65,0.6,0.63,0.57,0.68,0.72,0.64,0.82
2023-04-18,58,"벌레","animals",0.05,0.05,0.04,0.06,0.27,0.2,0.26,0.49,0.51,0.52,0.56,0.72,0.67,0.71,0.79,0.69,0.75,0.86,0.89
2023-04-18,59,"병아리","animals",0.18,0.08,0.21,0.22,0.31,0.36,0.43,0.58,0.63,0.62,0.71,0.74,0.73,0.79,0.84,0.85,0.89,0.8,0.89
2023-04-18,60,"부엉이","animals",0.08,0.03,0.06,0.19,0.19,0.2,0.23,0.36,0.43,0.5,0.53,0.59,0.53,0.55,0.49,0.6,0.72,0.65,0.65
2023-04-18,61,"비둘기","animals",0.09,0.03,0.13,0.16,0.21,0.19,0.42,0.49,0.41,0.49,0.5,0.58,0.63,0.6,0.69,0.65,0.7,0.71,0.73
2023-04-18,62,"사슴","animals",0.11,0.02,0.07,0.11,0.26,0.13,0.31,0.45,0.4,0.52,0.58,0.65,0.53,0.74,0.61,0.75,0.79,0.77,0.86
2023-04-18,63,"사자","animals",0.31,0.17,0.34,0.35,0.44,0.51,0.64,0.74,0.7,0.74,0.78,0.84,0.83,0.9,0.88,0.87,0.86,0.91,0.97
2023-04-18,64,"새","animals",0.28,0.28,0.25,0.48,0.44,0.5,0.72,0.77,0.74,0.81,0.78,0.86,0.87,0.97,0.9,0.91,0.92,0.91,0.96
2023-04-18,65,"소","animals",0.37,0.17,0.34,0.43,0.43,0.51,0.67,0.74,0.66,0.69,0.79,0.82,0.76,0.95,0.84,0.85,0.87,0.88,0.94
2023-04-18,66,"송아지","animals",0.08,0.03,0.13,0.17,0.21,0.17,0.33,0.3,0.47,0.43,0.55,0.49,0.46,0.55,0.57,0.55,0.62,0.57,0.66
